# I am a comment line. Either hex format works, prefixed or non prefixed.
# 0xdeadbeef,a\dead\beef
# deadc0de,a\dead\code
0x2df1cfb9ed77e06c,content/fac_helldivers/equipment/primary_weapons/marksman_rifle/marksman_rifle
0x5d8d8c073b9d502,content/fac_helldivers/equipment/primary_weapons/pump_shotgun_plasma/pump_shotgun_plasma
0x53eebe75cd6e26df,content/fac_helldivers/equipment/primary_weapons/pump_shotgun_slug/pump_shotgun_slug
0x6b11fc757618c57e,content/fac_helldivers/equipment/throwables/he_grenade/he_grenade
0x4ce9eab785a79b7b,content/fac_helldivers/equipment/throwables/frag_grenade/frag_grenade
0x4653ab33f3ffb44,content/fac_helldivers/equipment/throwables/incendiary_grenade/incendiary_grenade
0x5de8fd02a05b4b0a,content/fac_helldivers/equipment/throwables/smoke_grenade/smoke_grenade
0x7686544f539bb9b7,content/fac_helldivers/equipment/throwables/impact_grenade/impact_grenade
0x1ff81c46cc79fd34,content/fac_helldivers/equipment/throwables/emp_grenade/emp_grenade
0x76dd5d4f4360204,content/fac_helldivers/equipment/primary_weapons/arc_shotgun/arc_shotgun
0x7b06196e90154c88,content/fac_helldivers/equipment/sidearm_weapons/laser_pistol/laser_pistol
0x3575aabc5f1f9326,content/fac_helldivers/equipment/sidearm_weapons/automatic_pistol/automatic_pistol
0x8d3d52a3b2f19402,content/fac_helldivers/equipment/sidearm_weapons/revolver_pistol/revolver_pistol
0x13906be034be0007,content/planet_desert_savanna/assets/terrain_materials/textures_packed/savanna_rock_albedo
0xc33ffd88c5090030,content/env_shared_arctic/assets/terrain_materials/textures_packed/snowy_forest_marshlands_nms
0xe8b5d3c076f0031,content/planet_desert_savanna/assets/terrain_materials/textures_packed/savanna_sand_albedo
0xb4f608c09d8c00bf,content/audio/obj_sam_site
0xfc90b1c2172e00cb,content/audio/wep_railgun
0x7cedbd9183810133,content/audio/samples
0x36aa99cce5e60146,content/fac_bugs/cha_boomer/cha_boomer
0x44874264dce201c4,content/planet_forest_moor/assets/variation_arid/terrain_materials/texture_packed/moor_arid_pebbles_small_displacement
0x80932fa0ed6901d3,content/fac_helldivers/equipment/support_weapons/lat_oneshot/lat_oneshot
0xbf281073a422022c,content/art_shared/textures/normal_xy_ao_rough_dummy
0xf52c454fcc380235,core/stingray_renderer/shader_libraries/lighting
0x29556964f3d30272,content/env_shared_forest/assets/terrain_materials/textures_packed/forest_mud_difficult_albedo
0xca13dea37f410312,content/env_shared_forest/assets/weathering/forest_weathering_nar
0xb4750d12f3ae0324,content/audio/obj_thumper
0x62d2c45a8b9703cc,content/objectives/obj_common/colony_relay/colony_relay_01/objective_colony_relay
0xc4b34880fdbf03d2,content/art_shared/textures/camera_dirt
0xcfbea472269603f4,content/audio/foley_player_surface_media_common
0x8553eba871e70417,content/audio/Mission_Civilian_Exertions
0x43ec60f66e7e046b,content/objectives/obj_cyborgs/cyborg_chemicals_backpack/cy_chemicals_backpack
0x4ec4cfc3d4da0484,content/env_shared_forest/assets/terrain_materials/textures_packed/forest_mud_difficult_nms
0xe977c49db7604f9,content/fac_helldivers/hellpod/manned_turret/manned_turret
0xf572c075b92063b,content/audio/wep_scythe
0x9cb78a78898b06c6,content/audio/obj_carry_flag
0x96de9cd50f7306e6,content/fac_helldivers/equipment/support_weapons/arc_thrower/arc_thrower
0xb7b1e9525f050817,content/audio/haz_bugcluster
0x3618e742fa9c087d,core/stingray_renderer/environments/midday/radiance_cube
0xcc7022fdd172089b,content/fac_bugs/cha_boomer_nurser/cha_boomer_nurser
0x3227999be02d0919,core/stingray_renderer/lookup_tables/ibl_specular_brdf_lut
0x217c82164bd80a13,content/env_shared/assets/exploration_rewards/cache_interactable_box
0xaef33a1a86dd0a13,content/audio/gore_bugs
0xfae33fe2e7ca0a6c,content/art_shared/textures/water_caustics
0xfa80af6c47c50a73,content/planet_desert_sandy/assets/terrain_materials/textures_packed/sandy_mud_displacement
